StudentComments,sent_pretrained,target
well organized,pos,pos
everything is ok.,pos,pos
he is a good teacher.,pos,pos
super faculty,pos,pos
good,pos,pos
gives us proper support to every student in the class if they don't understand in coding .,neu,neu
good,pos,pos
"new in teaching profession. behave us like are master in english.help to develop english among some of students , not all . so all of students aren't benefited.",neu,neu
average,neu,neu
good,pos,pos
good,pos,pos
good,pos,pos
excellent,pos,pos
good,pos,pos
good,pos,pos
nice,pos,pos
not bad,neu,neu
helpfull and well behaved.,pos,pos
good,pos,pos
good,pos,pos
good,pos,pos
we all wanted to get his section in second semester . but unfortunately he'e going abroad :(,neg,neg
verry good,pos,pos
very understanding and diciplined,pos,pos
he ia not a bad teacher,neu,neu
good,pos,pos
i feel lucky to have him as a teacher.,pos,pos
she needs to be more frank to the student to make them understood the subject.,neu,neu
excellent,pos,pos
very good teacher.i'm completely satisfied.,pos,pos
cooperative,neu,neu
a nice and dedicated teacher,pos,pos
very good,pos,pos
good,pos,pos
she is just a good teacher. there's nothing more i have to say.,pos,pos
he is the best faculty in hrm department.we need more teacher like this.,pos,pos
he is a good teacher.,pos,pos
she is very very good faculty.,pos,pos
good faculty,pos,pos
average :(,neg,neg
good,pos,pos
farhana afroz ma'am is so nice women. her behavior is so friendly. she delivers her lectures in easy and simple way.,pos,pos
good teacher.,pos,pos
good,pos,pos
best,pos,pos
good,pos,pos
he is the best faculty of my life,pos,pos
"student friendly, always think about what is best for the students.",pos,pos
very goooooooooooooooooooooooood,pos,pos
she is good.,pos,pos
not the best teacher,neg,neg
he is very good teacher. and also friendly.,pos,pos
very good teacher,pos,pos
he is good teacher. he is very helpful.,pos,pos
very good.,pos,pos
very good at teaching chemistry. provides helpful lecture.,pos,pos
good,pos,pos
best faculty,pos,pos
the best teacher even i have seen,pos,pos
very good teacher,pos,pos
i am satisfied.,pos,pos
it is a privilege and a pleasure to be her student.,pos,pos
ok,neu,neu
i am very excited to study in aiub,pos,pos
perfact teacher of my student life,neu,neu
good teacher,pos,pos
good,pos,pos
best faculty,pos,pos
mam is so friendly.,pos,pos
very good,pos,pos
sir is a very good person. his teaching quality is different but we like this and also new many good things,pos,pos
a very professional faculty.,pos,pos
good,pos,pos
good teacher,pos,pos
i think he is excellent.,pos,pos
every teacher should be well behaved with the students and must read the lectures well,neu,neu
good in all aspects,pos,pos
good,pos,pos
mr. faridul alam is a good teacher with lot of enthusiasm and energy.,pos,pos
he is good,pos,pos
he is not a teacher at all.,neg,neg
he should attend in class in time.every day he will be late that is not accepted to every one.and he gives marks by watching his face.he should avoid this behave.he should see rvrry one is same student,neg,neg
good faculty,pos,pos
best faulty,pos,pos
good,pos,pos
amazing behavior. explained so nicely.,pos,pos
he is a good faculty,pos,pos
good teacher,pos,pos
good,pos,pos
good,pos,pos
no comments.,neu,neu
good,pos,pos
good,pos,pos
very punctual and regular,pos,pos
good faculty,pos,pos
good,pos,pos
she is a good teacher,pos,pos
he is a good teacher.,pos,pos
good,pos,pos
good teacher,pos,pos
good,pos,pos
sir is a very good teacher,pos,pos
he shares real life experience with us which is helping us.,pos,pos
nice faculty,pos,pos
good,pos,pos
he is moderately good teacher,pos,pos
good,pos,pos
he's very good :),pos,pos
hello,neu,neu
aiubian's deserve much better faculty than him.,neg,neg
good one.:),pos,pos
good,pos,pos
very good teacher,pos,pos
agree,neu,neu
good,pos,pos
he is a good teacher,pos,pos
very good,pos,pos
he sometimes gets puzzled during lecture.,neu,neu
he is a very good teacher & person too.he always teaching us with a friendly mind.,pos,pos
he is awesome faculty,pos,pos
he is a good teacher,pos,pos
good,pos,pos
he is good,pos,pos
good,pos,pos
sir is perfect for this course.,pos,pos
i think he is a qualified teacher at aiub.,neu,neu
best,pos,pos
he is an excellent teacher.,pos,pos
i love her class.,pos,pos
normal,neu,neu
best os faculty,pos,pos
have to improve teaching techniques,neu,neu
best,pos,pos
good,pos,pos
he has nice personality and also a good teacher.,pos,pos
i'm satisfied,pos,pos
good,pos,pos
good teacher,pos,pos
good faculty,pos,pos
very good,pos,pos
sir is the best,pos,pos
he is a good teacher but i think he over estimates the average understanding ability of the class.,neu,neu
sir has helped many students with multiple problems in multiple occasions.,pos,pos
he's a good teacher,pos,pos
good,pos,pos
he is good.,pos,pos
he is good,pos,pos
good,pos,pos
good,pos,pos
he has good knowledge of the subject matter .,pos,pos
she is a good teacher,pos,pos
best teacher,pos,pos
excellent teacher,pos,pos
i think he is a very very very good teacher.,pos,pos
nice,pos,pos
good,pos,pos
"nothing to say, just an awesome teacher for aiub. we need a teacher like him.",pos,pos
sir is punctual and rational.,pos,pos
he is very good and attentive teacher.,pos,pos
dr. jahir uddin ahmed sir was one of the humble teacher i have ever seen. great personality.,pos,pos
good,pos,pos
very good faculty,pos,pos
best faculty ever.,pos,pos
good,pos,pos
mam is very strict!,neg,neg
good,pos,pos
good,pos,pos
good,pos,pos
he is a good teacher,pos,pos
not bad,neu,neu
very good teacher,pos,pos
good,pos,pos
nyc and awesome.,pos,pos
she is a very good teacher,pos,pos
good,pos,pos
good,pos,pos
good,pos,pos
ok,neu,neu
sir is the best,pos,pos
good,pos,pos
