text,label,label_2
no comment,neutral,Evaluation
no comment,neutral,Evaluation
no comment,neutral,Evaluation
Course is clear tutorial agree with course and prepare us well for exams with annals,positive,Comprehension
Dynamic and motivated teacher who links well what one needs to know and the application of his course in everyday life Make the difference between what is important to know what will be useful for other courses and what is more cultural,positive,Analysis
This course is very interesting gives us fundamental bases for the followup,positive,Knowledge
The course is very well structured,positive,Comprehension
no comment,neutral,Evaluation
a lot of exchange and interactivity in this course,positive,Application
Very structured course well done,positive,Comprehension
It is a course that lays a good foundation for future years Examples are cited with the molecules components which makes the course more concrete,positive,Synthesis
Interesting subject and the courses are very comprehensive well structured,positive,Synthesis
The subjects of this court are interesting The professor is clear in these explanations and introduces examples allowing us to link our newly acquired knowledge with the phenomena of our everyday life,positive,Application
no comment,neutral,Evaluation
Good organization,positive,Comprehension
no comment,neutral,Evaluation
practical works are really useful and allow us to realize and understand the course,positive,Application
no comment,neutral,Evaluation
knows her subject very well and manages to explain it well,positive,Knowledge
Course that brings more than just knowledge it brings a bit of general culture and understanding of certain phenomena of everyday life,positive,Synthesis
He brings the basics,neutral,Knowledge
no comment,neutral,Evaluation
course of interest to deepen basic knowledge,positive,Knowledge
no comment,neutral,Evaluation
no comment,neutral,Evaluation
no comment,neutral,Evaluation
no comment,neutral,Evaluation
Very interesting courses due to the fact that it directly involves the student Very lively courses,positive,Application
Interesting course that addresses topics more or less distant,positive,Analysis
no comment,neutral,Evaluation
the diversity of courses with 3 different teachers,positive,Synthesis
no comment,neutral,Evaluation
Personal enrichment,positive,Comprehension
course is very interactive Her course is particularly interesting because we study elements of everyday life and current events,positive,Application
Various courses that make us see a whole range of things with different teachers especially courses very clear and very rigorous,positive,Synthesis
an interesting subject,positive,Knowledge
no comment,neutral,Evaluation
no comment,neutral,Evaluation
interesting courses that give us a basis for our future work,positive,Knowledge
Quite interactive and very concrete,positive,Application
no comment,neutral,Evaluation
no comment,neutral,Evaluation
no comment,neutral,Evaluation
no comment,neutral,Evaluation
no comment,neutral,Evaluation
makes it possible to understand how the environment works very enriching,positive,Comprehension
no comment,neutral,Evaluation
no comment,neutral,Evaluation
no comment,neutral,Evaluation
Very lively good involvement of tutorial lectures and practical work officers,positive,Application
no comment,neutral,Evaluation
no comment,neutral,Evaluation
The teacher's repeated explanations in such a way that one is well understood even if it may seem rebarbative,neutral,Comprehension
no comment,neutral,Evaluation
no comment,neutral,Evaluation
no comment,neutral,Evaluation
This course is well built and is made exciting by the teacher,positive,Comprehension
Interactivity teacher students The very interesting course,positive,Application
no comment,neutral,Evaluation
no comment,neutral,Evaluation
Clarity of course in agreement with tutorials and practical works,positive,Comprehension
no comment,neutral,Evaluation
precise and interesting course tutorial that complement the course well the two teachers complement each other with different but similar explanations keep this system,positive,Synthesis
no comment,neutral,Evaluation
no comment,neutral,Evaluation
no comment,neutral,Evaluation
no comment,neutral,Evaluation
good interaction with students,positive,Application
no comment,neutral,Evaluation
Good interactivity teacher who explains well,positive,Application
no comment,neutral,Evaluation
no comment,neutral,Evaluation
does not work with slides that he reads what is more interesting to us because he interacts much more with us at once,positive,Application
